Name,URL
Grossmont Hospital,https://www.sharp.com/chargemaster/grossmont/
Hahnemann University Hospital,https://www.hahnemannhospital.com/SitePages/For-Patients-and-Visitors/Insurance%20and%20Financial%20Support.aspx
Henry Ford Hospital,https://www.henryford.com/visitors/billing/cost-of-care/hospital-standard-charges
Hospital of the University of Pennsylvania,https://www.pennmedicine.org/for-patients-and-visitors/patient-information/insurance-and-billing/financial-transparency/financial-transparency-for-the-hospital-of-the-university-of-pennsylvania
Huntsville Hospital,https://www.huntsvillehospital.org/price-transparency
Indiana University Health,https://cdn.iuhealth.org/resources/2019-Charge-CMS-Transparency.txt?mtime=20181221134951
Jackson Memorial,http://jacksonhealth.org/hb-221-hb-1175.asp#4
JFK Medical Center,https://jfkmc.com/about/legal/detail-price-list.dot
Kennestone Hospital,https://www.wellstar.org/about-us/policies-procedures/pages/wellstar-hospital-pricing-transparency.aspx
Las Palmas Medical Center,https://laspalmasdelsolhealthcare.com/about/legal/detail-price-list.dot
Loma Linda University Medical Center,https://oshpd.ca.gov/data-and-reports/cost-transparency/hospital-chargemasters/2018-chargemasters/
Long Island Jewish Medical Center,https://www.northwell.edu/billing-and-insurance/price-transparency
Lucile Packard Childrens Hospital,https://oshpd.ca.gov/data-and-reports/cost-transparency/hospital-chargemasters/2018-chargemasters/
Massachusetts General Hospital,https://www.partners.org/for-patients/Patient-Billing-Financial-Assistance/Hospital-Charge-Listing.aspx
Medical City Dallas Hospital,https://medicalcityhospital.com/patient-financial/?page_name=pricing
Medical University of South Carolina,http://scpricepoint.org/ReportINP.aspx
Memorial Hermann Hospital System,https://www.memorialhermann.org/patients-caregivers/pricing-estimates-and-information/
Memorial Hermann Texas Medical Center,https://www.memorialhermann.org/patients-caregivers/pricing-estimates-and-information/
Memorial Hospital for Cancer and Allied Diseases,https://www.mskcc.org/public-notices/chargemaster/download
Memorial Regional Hospital,https://www.mhs.net/patients-visitors/billing/charges
Methodist Healthcare Hospital (Memphis),https://www.methodisthealth.org/patients-guests/billing-department.dot
Methodist Hospital (San Antonio),https://sahealth.com/about/legal/detail-price-list.dot
Milton S. Hershey Medical Center,https://hmc.pennstatehealth.org/patients-families-and-visitors/billing-and-medical-records/request-a-price-estimate
Montefiore Medical Center,https://www.montefiore.org/information-about-charges
Morristown Memorial Hospital,https://www.atlantichealth.org/patients-visitors/insurance/out-network-insurance.html
Mount Sinai Health System – Beth Israel,https://www.mountsinai.org/about/insurance/cm-faq-msl
Mount Sinai Hospital,https://www.mountsinai.org/about/insurance/cm-faq-msh
New York Presbyterian Hospital,https://www.nyp.org/patients-and-visitors/paying-for-care
New York University Hospitals Center,https://med.nyu.edu/standard-charges/form/price-transparency-info-download/confirmation?token=B9bGu4DLNzR-ly23TGOd4NYWvFewtJ6m1K_jDE7nsD8
North Carolina Baptist Hospital,https://www.wakehealth.edu/Patient-and-Family-Resources/Billing-and-Insurance/Your-Health-Care-Costs
North Shore University Hospital,https://www.northwell.edu/billing-and-insurance/price-transparency
Northshore University Health System,https://www.northshore.org/about-us/billing/standard-hospital-charges/
Northside Hospital,https://www.northside.com/billing-collections
Northwestern Memorial Hospital,https://www.nm.org/locations/northwestern-memorial-hospital
Norton Hospitals Inc.,http://search.hospitalpriceindex.com/hospital/Norton-Healthcare/5192
Ochsner Clinic Foundation,https://www.ochsner.org/patients-visitors/billing-and-financial-services/estimates
Ohio State University Hospital,https://wexnermedical.osu.edu/patient-and-visitor-guide/patient-pricing-lists
Orlando Health,https://www.orlandohealth.com/patients-and-visitors/patient-financial-resources/pricing-transparency-guide
Presbyterian Intercommunity Hospital,https://www.pihhealth.org/patients-visitors/billing-financial-assistance/cms-hospital-pricing/
Rainbow Babies and Childrens Hospital,https://www.uhhospitals.org/patients-and-visitors/billing-insurance-and-medical-records/cms-medicare-price-transparency-initiative
Riverside Methodist Hospital,https://www.ohiohealth.com/patients-and-visitors/paying-for-your-care/cost-of-services/
Robert Wood Johnson University Hospital,https://www.rwjbh.org/rwj-university-hospital-new-brunswick/billing/charges/
Ronald Reagan UCLA Medical Center,https://oshpd.ca.gov/data-and-reports/cost-transparency/hospital-chargemasters/2018-chargemasters/
Rush University Medical Center,https://www.rush.edu/patients-visitors/patients/pay-your-bill/cost-care
Scott and White Memorial Hospital,https://www.bswhealth.com/patient-tools/patient-registration-and-billing/estimate-your-cost-care/Pages/default.aspx
Sharp Memorial Hospital,https://www.sharp.com/chargemaster/memorial/
Spectrum Health Hospitals,https://www.spectrumhealth.org/about-us/average-prices-for-grand-rapids-area
St. Francis Medical Center,https://www.sfmc.net/billing/price-transparency/
St. Joseph’s Hospital (Tampa),https://baycare.org/billing-and-insurance?h=%7BE8674E87-55E2-4279-8327-5C27406EE723%7D
St. Joseph’s Hospital and Medical Center,https://www.dignityhealth.org/arizona/locations/stjosephs/patients-and-visitors/for-patients/billing-payment-information
St. Luke’s Hospital (Pennsylvania),https://www.slhn.org/billpay/patient-billing/standard-charges-for-services-provided
St. Luke’s Hospital (San Francisco),https://www.sutterhealth.org/for-patients/health-care-costs-and-charges
Stanford Hospitals and Clinics,https://oshpd.ca.gov/data-and-reports/cost-transparency/hospital-chargemasters/2018-chargemasters/
Sunrise Hospital and Medical Center,https://sunrisehospital.com/about/legal/detail-price-list.dot
Swedish Medical Center,https://swedishhospital.com/about/legal/detail-price-list.dot
Tampa General Hospital,https://www.tgh.org/patients-visitors/financial-information/hospital-services-and-charges
Temple University Hospital,https://tuh.templehealth.org/content/pricing-info.htm
The Childrens Hospital of Philadelphia,https://www.chop.edu/centers-programs/billing-and-insurance/understanding-hospital-charges
The Methodist Hospital (Houston),https://www.houstonmethodist.org/for-patients/patient-resources/billing-insurance/charge-description-master/
Thomas Jefferson University Hospital,https://hospitals.jefferson.edu/patients-and-visitors/charge-description-master.html
UC Davis Medical Center,https://health.ucdavis.edu/newsroom/public-records/chargemaster.html
UC Irvine Medical Center,http://www.ucihealth.org/patients-visitors/pricing-transparency
UC San Diego Medical Center,https://health.ucsd.edu/patients/billing/standard-charges/Pages/default.aspx
UC San Francisco Medical Center,https://www.ucsfhealth.org/about/pricing-transparency/
University Hospital (Lexington),https://ukhealthcare.uky.edu/uk-healthcare-rates
University Hospitals Case Medical Center,https://www.uhhospitals.org/patients-and-visitors/billing-insurance-and-medical-records/cms-medicare-price-transparency-initiative
University of Wisconsin Madison Hospitals and Clinics,https://www.uwhealth.org/billing-and-insurance/priceline-pricing-costs/30091
University of Alabama Hospital,https://www.uabmedicine.org/billing-insurance-and-medical-records
University of Chicago Hospitals,http://search.hospitalpriceindex.com/hospital/the-university-of-chicago-medical-center/5342
University of Colorado Hospital,https://www.uchealth.org/billing-and-pricing-information/
University of Florida Health Shands,https://ufhealth.org/pricing-transparency
University of Iowa Hospitals and Clinics,https://uihc.org/hospital-services-and-charges
University of Kansas Hospitals,https://www.kansashealthsystem.com/patient-visitor/insurance-billing-financial-support/services-fees/charge-descriptions
University of Massachusetts Memorial Medical Center,https://www.umassmemorialhealthcare.org/healthalliance-clinton-hospital/patients-visitors/patient-resources/healthalliance-clinton-pricing-list
University of Michigan Hospitals and Health Centers,https://www.uofmhealth.org/michigan-medicine-standard-charges
University of Minnesota Medical Center,https://www.fairview.org/billing/fairview-patient-billing
University of North Carolina Hospital,https://www.unchealthcare.org/about-us/billing-and-financial-assistance/chargemaster/
University of Oklahoma Medical Center,https://www.oumedicine.com/oumedicine/primary-care/patients-visitors/hospital-financial-assistance/hospital-charges
University of Pittsburgh Medical Center Presbyterian Shadyside,https://www.upmc.com/locations/hospitals/mckeesport/patients-visitors/patient-information/cdm
University of Texas MD Anderson Cancer Center,https://www.mdanderson.org/patients-family/becoming-our-patient/planning-for-care/insurance-billing-financial-support/health-care-disclosures.html
University of Virginia Medical Center,https://uvahealth.com/services/billing-insurance/common-prices
Vanderbilt University Medical Center,https://finance.vumc.org/chargemaster/
VCU Health System MCV Hospital,https://www.vcuhealth.org/locations/vcu-medical-center/billing-and-insurance/price-transparency
West Jersey Health System,https://www.virtua.org/patient-tools/hospital-charges-information
Westchester Medical Center,https://www.westchestermedicalcenter.com/billing-insurance-and-financial-assistance
William Beaumont Hospital – Royal Oak,https://www.beaumont.org/patients-families/billing/pricing
Winthrop University Hospital,https://www.nyuwinthrop.org/standard-charges
Yale New Haven Hospital,https://www.ynhh.org/patients-visitors/billing-insurance/pricing.aspx
